,id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem,problem_eng,problem_with_product
1502,restart_3514,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-10-31,Cracked screen.,,Mobile: Cracked screen.
1503,restart_3516,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-10-31,Cracked screen.,,Mobile: Cracked screen.
1504,restart_3517,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-10-31,Cracked screen.,,Mobile: Cracked screen.
1505,restart_3518,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-10-31,Cracked screen.,,Mobile: Cracked screen.
1506,restart_3960,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-11-30,Cracked screen.,,Mobile: Cracked screen.
1507,restart_3961,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-11-30,Cracked screen.,,Mobile: Cracked screen.
1508,restart_3962,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-11-30,Cracked screen.,,Mobile: Cracked screen.
1509,restart_3963,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-11-30,Cracked screen.,,Mobile: Cracked screen.
1510,restart_3964,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-11-30,Battery.,,Mobile: Battery.
1511,restart_3965,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-11-30,Not turning on.,,Mobile: Not turning on.
1512,restart_4066,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-12-31,Crashing.,,Mobile: Crashing.
1513,restart_4068,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-12-31,Cracked screen.,,Mobile: Cracked screen.
1514,restart_4070,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2016-12-31,Battery.,,Mobile: Battery.
1515,restart_4272,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2017-01-31,Cracked screen.,,Mobile: Cracked screen.
1516,restart_4273,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2017-01-31,Cracked screen.,,Mobile: Cracked screen.
1517,restart_4274,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2017-01-31,Cracked screen.,,Mobile: Cracked screen.
1518,restart_4275,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2017-01-31,Cracked screen.,,Mobile: Cracked screen.
1519,restart_4276,The Restart Project,USA,Mobile ~ iPhone,Mobile,19,Apple,,,Fixed,,Restart Center ECFS,2017-01-31,Cracked screen.,,Mobile: Cracked screen.
